dataset,variant,S,G,point_kind,num_monitored,monitored_symbolic,monitored_persistence,Precision,Recall,F1,eTaP,eTaR,eTaF1,FPA,Scen,TP,FP,TN,FN
HAI,without_geco_ignored,0.7,2.0,grid,47,45,2,24.49081862762645,76.47256063484967,37.10009760329682,16.348761868989882,87.57863734083789,27.55389430664377,1093.0,100.0,6842,21095,371958,2105
HAI,without_geco_ignored,0.7,2.5,grid,47,45,2,24.134191562303226,77.10964569129317,36.76231582873738,15.974854924006037,87.88533098725954,27.035488144980068,1036.0,100.0,6899,21687,371366,2048
HAI,without_geco_ignored,0.7,3.0,grid,47,45,2,23.86461158216333,77.70202302447747,36.51452282157676,15.41296185102088,89.26468272950557,26.28704830084232,1012.0,100.0,6952,22179,370874,1995
HAI,without_geco_ignored,0.7,3.5,grid,47,45,2,23.62566772601258,78.10439253381021,36.27774172615185,15.278871006964623,89.48973718518124,26.101370906673004,1015.0,100.0,6988,22590,370463,1959
HAI,without_geco_ignored,0.7,4.0,grid,47,45,2,23.40617180984153,78.41734659662457,36.0515903602076,15.137792303947595,89.65283736366256,25.90204936787775,1011.0,100.0,7016,22959,370094,1931
HAI,without_geco_ignored,0.7,4.5,grid,47,45,2,23.204456310359603,78.68559293617973,35.8397393473502,14.51263042573722,89.7661561083046,24.98577307309916,1008.0,100.0,7040,23299,369754,1907
HAI,without_geco_ignored,0.7,5.0,grid,47,45,2,23.022543653896275,78.98737006817927,35.65320485331584,14.632102990722537,89.92593967850817,25.168902885376003,1002.0,100.0,7067,23629,369424,1880
HAI,without_geco_ignored,0.7,6.0,grid,47,45,2,22.713175816094893,79.40091650832682,35.32219570405728,14.455154314037111,90.1090814463349,24.91369382525625,983.0,100.0,7104,24173,368880,1843
HAI,without_geco_ignored,0.7,7.0,grid,47,45,2,22.43634077334172,79.76975522521515,35.02220477463994,14.006835086279285,90.28124522682126,24.25118018242344,970.0,100.0,7137,24673,368380,1810
HAI,without_geco_ignored,0.7,8.0,grid,47,45,2,22.208463610191004,80.18330166536269,34.7830303030303,13.99162432141462,90.47671239956708,24.23540394086065,972.0,100.0,7174,25129,367924,1773
